house,mic,date_time,start,full file name,onset,offset,event_label
TRF3,mic07,2022-01-26 22:01:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.01.00,1.775,1.925,1
TRF3,mic07,2022-01-26 22:01:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.01.00,2.275,2.425,1
TRF3,mic07,2022-01-26 22:01:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.01.00,6.825,6.975,1
TRF3,mic07,2022-01-26 05:08:00,TRF3_2020-12,TRF3_mic07_2022-01-26_05.08.00,6.775,6.925,2
TRF3,mic07,2022-01-26 22:09:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.09.00,4.275,4.425,1
TRF3,mic07,2022-01-26 22:09:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.09.00,4.325,4.475,2
TRF3,mic07,2022-01-26 22:41:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.41.00,24.525,24.675,2
TRF3,mic07,2022-01-26 22:05:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.05.00,14.225,14.375,1
TRF3,mic07,2022-01-26 22:12:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.12.00,51.875,52.025,1
TRF3,mic07,2022-01-26 22:12:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.12.00,51.925,52.125,2
TRF3,mic07,2022-01-26 22:03:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.03.00,8.425,8.675,2
TRF3,mic07,2022-01-26 22:03:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.03.00,50.925,51.075,1
TRF3,mic07,2022-01-26 04:07:00,TRF3_2020-12,TRF3_mic07_2022-01-26_04.07.00,46.275,46.525,2
TRF3,mic07,2022-01-26 04:07:00,TRF3_2020-12,TRF3_mic07_2022-01-26_04.07.00,46.325,46.475,1
TRF3,mic07,2022-01-26 22:43:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.43.00,11.175,11.325,1
TRF3,mic07,2022-01-26 22:43:00,TRF3_2020-12,TRF3_mic07_2022-01-26_22.43.00,11.225,11.375,2
