house,mic,date_time,start,full file name,onset,offset,event_label
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,16.575,16.875,2
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,16.625,16.825,1
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,22.925,23.125,3
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,23.225,23.875,3
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,26.375,26.625,3
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,28.675,28.825,3
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,28.725,28.875,1
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,34.225,34.425,2
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,34.325,35.425,4
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,34.375,34.525,3
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,34.875,35.025,5
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,35.325,35.475,2
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,37.225,37.575,3
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,37.375,37.925,4
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,39.425,39.825,2
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,39.725,39.875,3
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,45.225,45.375,4
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,45.275,45.475,3
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,47.525,47.775,3
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,51.175,51.325,2
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,55.025,55.175,2
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,55.075,55.425,4
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,55.325,55.725,5
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,55.375,55.575,3
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,55.525,56.125,4
TRF3,mic07,2022-01-29 01:24:00,TRF3_2020-12,TRF3_mic07_2022-01-29_01.24.00,56.025,56.225,2
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,0.425,0.675,1
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,11.625,11.825,3
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,11.725,11.925,2
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,17.675,17.825,3
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,18.375,18.525,4
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,18.425,18.675,2
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,18.725,18.875,3
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,20.425,20.775,2
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,21.025,21.325,3
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,21.125,21.275,4
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,21.375,21.525,3
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,21.425,21.725,4
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,22.775,22.925,3
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,25.875,26.025,3
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,26.825,26.975,3
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,28.675,28.825,1
TRF3,mic07,2022-01-29 00:52:00,TRF3_2020-12,TRF3_mic07_2022-01-29_00.52.00,28.725,28.875,2
